country,model,bin,mean_predicted_probability,observed_probability,n
Kyrgyz_Republic_DHS_2012,TabPFN,2,0.22410181164741516,0.20833333333333334,72
Kyrgyz_Republic_DHS_2012,TabPFN,3,0.2870212495326996,0.2916666666666667,72
Kyrgyz_Republic_DHS_2012,TabPFN,4,0.36189618706703186,0.4931506849315068,73
Kyrgyz_Republic_DHS_2012,TabPFN,5,0.4179556667804718,0.4383561643835616,73
Kyrgyz_Republic_DHS_2012,TabPFN,6,0.46421119570732117,0.5492957746478874,71
Kyrgyz_Republic_DHS_2012,TabPFN,7,0.5151175856590271,0.4931506849315068,73
Kyrgyz_Republic_DHS_2012,TabPFN,8,0.5653948783874512,0.5,72
Kyrgyz_Republic_DHS_2012,TabPFN,9,0.6179084777832031,0.5138888888888888,72
Kyrgyz_Republic_DHS_2012,TabPFN,10,0.7070261240005493,0.6986301369863014,73
Liberia_DHS_2019_2020,LogReg,1,0.6054874645310094,0.6136363636363636,44
Liberia_DHS_2019_2020,LogReg,2,0.64568103432886,0.6511627906976745,43
Liberia_DHS_2019_2020,LogReg,3,0.6637435316436513,0.7674418604651163,43
Liberia_DHS_2019_2020,LogReg,4,0.6806645031982659,0.7209302325581395,43
Liberia_DHS_2019_2020,LogReg,5,0.6959735323048556,0.8837209302325582,43
Liberia_DHS_2019_2020,LogReg,6,0.7068064455265296,0.5813953488372093,43
