model,country,feature,importance
TabPFN,Rwanda_DHS_2019_2020,v212,0.0034107456180060836
TabPFN,Rwanda_DHS_2019_2020,hw72,0.0004614394814031586
TabPFN,Rwanda_DHS_2019_2020,v190,0.009352286184503377
TabPFN,Rwanda_DHS_2019_2020,v040,0.0218323079979727
TabPFN,Rwanda_DHS_2019_2020,h22,-0.004154758599168284
TabPFN,Rwanda_DHS_2019_2020,h11,0.016097751266446535
TabPFN,Rwanda_DHS_2019_2020,h43,0.014938219546808362
TabPFN,Rwanda_DHS_2019_2020,h34,0.018805854072340346
TabPFN,Rwanda_DHS_2019_2020,v191,0.008567574673483801
TabPFN,Rwanda_DHS_2019_2020,v113,0.0024969460039159118
TabPFN,Rwanda_DHS_2019_2020,v116,0.001058578767613416
TabPFN,Rwanda_DHS_2019_2020,v106,0.0008308422101525493
TabPFN,Rwanda_DHS_2019_2020,v025,-0.0016485312454742273
TabPFN,Rwanda_DHS_2019_2020,v201,0.004613327950603874
TabPFN,Rwanda_DHS_2019_2020,m13,0.0006868534573019946
TabPFN,Rwanda_DHS_2019_2020,v463z,-0.0008264578185422589
TabPFN,Rwanda_DHS_2019_2020,v151,0.003323368840610197
LogReg,Sierra_Leone_DHS_2019,hw1,0.25450675436237724
LogReg,Sierra_Leone_DHS_2019,b4,0.07286559417193265
LogReg,Sierra_Leone_DHS_2019,h31,0.01582038003628651
LogReg,Sierra_Leone_DHS_2019,hw70,0.08912492770649505
LogReg,Sierra_Leone_DHS_2019,v012,0.09925248836408077
LogReg,Sierra_Leone_DHS_2019,v212,0.0049223540167715575
LogReg,Sierra_Leone_DHS_2019,hw72,0.0017898100119210494
LogReg,Sierra_Leone_DHS_2019,v190,0.014302780477758913
LogReg,Sierra_Leone_DHS_2019,v040,0.023351493562762688
LogReg,Sierra_Leone_DHS_2019,h22,0.021279887876966885
LogReg,Sierra_Leone_DHS_2019,h11,0.0031467878887579525
LogReg,Sierra_Leone_DHS_2019,h43,0.03739672763756572
LogReg,Sierra_Leone_DHS_2019,h34,0.011908588580132941
LogReg,Sierra_Leone_DHS_2019,v191,0.13436955069605272
LogReg,Sierra_Leone_DHS_2019,v113,0.0011211414430586763
LogReg,Sierra_Leone_DHS_2019,v116,0.02071231340837914
LogReg,Sierra_Leone_DHS_2019,v106,0.1313856948482159
LogReg,Sierra_Leone_DHS_2019,v025,0.046398189690782604
LogReg,Sierra_Leone_DHS_2019,v201,0.006656287614716574
LogReg,Sierra_Leone_DHS_2019,m13,0.01626009551306838
LogReg,Sierra_Leone_DHS_2019,v463z,0.002262441219221784
LogReg,Sierra_Leone_DHS_2019,v151,0.020404922883827416
LightGBM,Sierra_Leone_DHS_2019,hw1,0.3072249682659095
LightGBM,Sierra_Leone_DHS_2019,b4,0.08533662756321628
LightGBM,Sierra_Leone_DHS_2019,h31,0.014690927677663064
LightGBM,Sierra_Leone_DHS_2019,hw70,0.15976031336636431
LightGBM,Sierra_Leone_DHS_2019,v012,0.14805665870235066
LightGBM,Sierra_Leone_DHS_2019,v212,0.05726186986013963
LightGBM,Sierra_Leone_DHS_2019,hw72,0.09806676376184764
LightGBM,Sierra_Leone_DHS_2019,v190,0.03784362041065526
LightGBM,Sierra_Leone_DHS_2019,v040,0.0873085579835903
LightGBM,Sierra_Leone_DHS_2019,h22,0.02678712212204587
LightGBM,Sierra_Leone_DHS_2019,h11,0.0056524527939953075
LightGBM,Sierra_Leone_DHS_2019,h43,0.04677057122384278
LightGBM,Sierra_Leone_DHS_2019,h34,0.0362979516787948
LightGBM,Sierra_Leone_DHS_2019,v191,0.1808864909569235
LightGBM,Sierra_Leone_DHS_2019,v113,0.0676237663614002
LightGBM,Sierra_Leone_DHS_2019,v116,0.03998330358979377
LightGBM,Sierra_Leone_DHS_2019,v106,0.12480833394711498
LightGBM,Sierra_Leone_DHS_2019,v025,0.07558987877998688
LightGBM,Sierra_Leone_DHS_2019,v201,0.05274535198106353
LightGBM,Sierra_Leone_DHS_2019,m13,0.04731012537743982
LightGBM,Sierra_Leone_DHS_2019,v463z,0.009177632115816875
LightGBM,Sierra_Leone_DHS_2019,v151,0.02553718847809327
XGBoost,Sierra_Leone_DHS_2019,hw1,0.26904088258743286
XGBoost,Sierra_Leone_DHS_2019,b4,0.06962168961763382
XGBoost,Sierra_Leone_DHS_2019,h31,0.0
XGBoost,Sierra_Leone_DHS_2019,hw70,0.11761794984340668
XGBoost,Sierra_Leone_DHS_2019,v012,0.1054665669798851
XGBoost,Sierra_Leone_DHS_2019,v212,0.0166225153952837
XGBoost,Sierra_Leone_DHS_2019,hw72,0.051508937031030655
XGBoost,Sierra_Leone_DHS_2019,v190,0.0005222586332820356
XGBoost,Sierra_Leone_DHS_2019,v040,0.0360553115606308
XGBoost,Sierra_Leone_DHS_2019,h22,0.018756024539470673
XGBoost,Sierra_Leone_DHS_2019,h11,0.0
XGBoost,Sierra_Leone_DHS_2019,h43,0.007240868639200926
XGBoost,Sierra_Leone_DHS_2019,h34,0.015623546205461025
XGBoost,Sierra_Leone_DHS_2019,v191,0.19472640752792358
XGBoost,Sierra_Leone_DHS_2019,v113,0.030340930446982384
XGBoost,Sierra_Leone_DHS_2019,v116,0.014409461989998817
XGBoost,Sierra_Leone_DHS_2019,v106,0.1010168045759201
