country,subgroup,value,model,accuracy,f1,sensitivity,specificity,auc
Sierra_Leone_DHS_2019,sex,female,LogReg,0.6912442396313364,0.7899686520376176,0.8689655172413793,0.3333333333333333,0.6564176245210728
Sierra_Leone_DHS_2019,sex,female,LightGBM,0.6682027649769585,0.7831325301204819,0.896551724137931,0.20833333333333334,0.6036398467432951
Sierra_Leone_DHS_2019,sex,female,XGBoost,0.6912442396313364,0.8035190615835777,0.9448275862068966,0.18055555555555555,0.6368773946360153
Sierra_Leone_DHS_2019,sex,female,TabPFN,0.695852534562212,0.8047337278106509,0.9379310344827586,0.20833333333333334,0.6450191570881226
Sierra_Leone_DHS_2019,wealth,poorest,LogReg,0.7192982456140351,0.8367346938775511,0.9761904761904762,0.0,0.5738095238095239
Sierra_Leone_DHS_2019,wealth,poorest,LightGBM,0.7192982456140351,0.8297872340425532,0.9285714285714286,0.13333333333333333,0.4630952380952381
Sierra_Leone_DHS_2019,wealth,poorest,XGBoost,0.7280701754385965,0.841025641025641,0.9761904761904762,0.03333333333333333,0.5138888888888888
Sierra_Leone_DHS_2019,wealth,poorest,TabPFN,0.7368421052631579,0.8484848484848485,1.0,0.0,0.5638888888888889
Sierra_Leone_DHS_2019,wealth,middle,LogReg,0.7096774193548387,0.8187919463087249,0.8970588235294118,0.2,0.5970588235294118
Sierra_Leone_DHS_2019,wealth,middle,LightGBM,0.7419354838709677,0.84,0.9264705882352942,0.24,0.66
Sierra_Leone_DHS_2019,wealth,middle,XGBoost,0.7096774193548387,0.8280254777070064,0.9558823529411765,0.04,0.6352941176470588
Sierra_Leone_DHS_2019,wealth,middle,TabPFN,0.7204301075268817,0.8375,0.9852941176470589,0.0,0.6285294117647059
Sierra_Leone_DHS_2019,wealth,poorer,LogReg,0.7525773195876289,0.8571428571428571,0.972972972972973,0.043478260869565216,0.5076380728554641
Sierra_Leone_DHS_2019,wealth,poorer,LightGBM,0.7731958762886598,0.8674698795180723,0.972972972972973,0.13043478260869565,0.6568742655699178
Sierra_Leone_DHS_2019,wealth,poorer,XGBoost,0.7731958762886598,0.8705882352941177,1.0,0.043478260869565216,0.6398354876615746
Sierra_Leone_DHS_2019,wealth,poorer,TabPFN,0.7731958762886598,0.8705882352941177,1.0,0.043478260869565216,0.5111633372502938
Sierra_Leone_DHS_2019,wealth,richer,LogReg,0.6395348837209303,0.7559055118110236,0.8421052631578947,0.2413793103448276,0.6091954022988505
Sierra_Leone_DHS_2019,wealth,richer,LightGBM,0.7209302325581395,0.8153846153846154,0.9298245614035088,0.3103448275862069,0.6339987900786449
Sierra_Leone_DHS_2019,wealth,richer,XGBoost,0.7325581395348837,0.8296296296296296,0.9824561403508771,0.2413793103448276,0.6926799758015729
Sierra_Leone_DHS_2019,wealth,richer,TabPFN,0.7093023255813954,0.8148148148148148,0.9649122807017544,0.20689655172413793,0.6594071385359952
Sierra_Leone_DHS_2019,wealth,richest,LogReg,0.559322033898305,0.5185185185185185,0.45161290322580644,0.6785714285714286,0.5771889400921659
Sierra_Leone_DHS_2019,wealth,richest,LightGBM,0.6779661016949152,0.7076923076923077,0.7419354838709677,0.6071428571428571,0.6670506912442397
Sierra_Leone_DHS_2019,wealth,richest,XGBoost,0.6440677966101694,0.6666666666666666,0.6774193548387096,0.6071428571428571,0.6532258064516129
Sierra_Leone_DHS_2019,wealth,richest,TabPFN,0.6271186440677966,0.6333333333333333,0.6129032258064516,0.6428571428571429,0.657258064516129
Sierra_Leone_DHS_2019,education,no education,LogReg,0.7310924369747899,0.8431372549019608,0.9608938547486033,0.03389830508474576,0.6075182274405833
Sierra_Leone_DHS_2019,education,no education,LightGBM,0.7184873949579832,0.8286445012787724,0.9050279329608939,0.15254237288135594,0.52921124893476
Sierra_Leone_DHS_2019,education,no education,XGBoost,0.7478991596638656,0.8543689320388349,0.9832402234636871,0.03389830508474576,0.5568601458195247
